transliteration,translation
um-ma šu-hu-bu-ur-ma ù ha-nu-ma a-na a-la-hi-im qí-bi4-ma a-šu-mì ša a-lu-lá-a ša ta-áš-pu-ru-ni a-na-kam ni-ṣí-ba-sú-ma um-ma né-nu-ma KÙ.BABBAR šu-qú-ul um-ma šu-ut-ma KÙ.BABBAR wa-dí ú-té-bi4-il5-šu-um wa-bi4-il5 KÙ.BABBAR-pì-im bur-sú-in ú a-lá-bu-um a-hu-šu um-ma šu-ut-ma šu-nu ub-lu-šu-ma KÙ.BABBAR a-šu-mì ša šu-ku-tim a-na-kam šu-kà-tám ni-iṣ-ba-at um-ma né-nu-ma KÙ.BABBAR šu-qú-ul ša e-ma-ra-am É DAM.GÀR-ri-im ni-sí-a-ku-ma ṭup-pì-ni ha-ar-mì-im KÙ.BABBAR ú ṣí-ba-sú im-tí-id um-ma šu-ut-ma iš-tí a-hi-a en-na-ma KÙ.BABBAR ú-šé-ba-al a-na-kam a-zu ni-iṣ-ba-at-ma um-ma né-nu-ma KÙ.BABBAR šu-qú-ul um-ma šu-ut-ma ba-áb ha-ra-ni-kà šu-kà-tám-ma KÙ.BABBAR a-ša-qá-al-ma ú-šé-ba-al-ma ša ki-ma i-a-tí i-ša-qú-lu-šu-um i re-eš15 ṭup-pì-a i-ša-qú-lu-šu-um,"From Šu-hubur and hanu to Ali-ahum: Concerning the matter of Alulaya that you wrote about, we seized him here and said: Pay the silver!"" He answered: ""But I have sent him the silver. Those who carried the silver were Būr-Suen and his brother Ali-abum."" He continued: ""It was those who brought it to him, and as the silver was (sent) in the name of Šukkutum, we seized Šukkutum here and said: Pay the silver for the donkey we have borrowed in the house of a merchant, and for which the silver and interest has grown heavy on our certified tablet."" He answered: ""Ask a favour from my brother, that he should send me silver."" We seized Azu here and said: ""Pay the silver!"" He answered: ""When you are about to leave I shall pay the silver for Šukkutum and send it and my representatives can then pay him. They shall pay it to him according to my tablet. """
balāmu I,"""to gag"" jB G (i)"
a-na ma-ma-hi-ir lá-qé-ep a-lá-hi-im ù šu-IŠTAR qí-bi-ma um-ma en-um-a-šur-ma ta-áš-pu-ra-nim um-ma a-tù-nu-ma um-me-a-nu a-bi-kà ma-lá i-na pá-ni-tim tù- <gap> -um ma-ag-ru-kà a-hu-a-tù-nu 4 a-tù-nu a-na ṣé-er um-me-a-ni a-bi-ni pu-nu-a-ma a-wa-tí-ni ga-me-ra-ma URUDU-um ša ú-ṣú-ur-ša-a-šur il5-qé-ú i-na KÙ.BABBAR-pí-šu li-iṣ-hi-ir a- <gap> ki-ma ra-mì-ni <gap> ki-ma i- <gap> -a-ma <gap> -ta-a a-na-ku ù a-lá-hu-um lu ni-iš-qú-ul šu-ma um-me-a-nu a-bi-ni i-pá-lu-hu-ma ni-iš a-lim{ki} lá i-ta-mu-ú ma-lá a-wa-tim i-na pá-ni-tim ú-kà-i-lu a-wa-tum lu-up-ta a-wa-tim ga-me-ra-ma ik-ri-bu-um i-na ba-ri-ku-nu li-qí-bi-ma i-na a-lá-ki-a a-na-ku ù a-lá-hu-um mu-ta-a KÙ.BABBAR lu ni-iš-qú-ul a-hu-a a-tù-nu a-na pá-ni-a tí-ir-ta-ku-nu iš-tí ṣú-ha-ri-a a-ni-tum lá a-ni-tum li-li-kam-ma ṭé-mì-i lu ṣa-áb-ta-am a ba-ri-ku-nu i-na e-ra-bi4-a a-wa-tí i-na a-ma-ri-a e i-ba-al-ku-ta-a-nim šu-ma a-tù-nu a-na ta- <gap> ta-ša-hu-ṭá a-dí a-lá-ki-a i,"<gap> To Man-mahir, Lā-qēp, Ali-ahum and Šu-Ištar from Ennam-Aššur: You have written, saying: ""Your father's inverstors have agreed with you as much as you suggested earlier."" My dear brothers, you four must turn to our father's investors, and conclude our entire case and as to the copper that Uṣur-ša-Aššur has taken, let it be deducted from his silver. gap> I and Ali-ahum should pay. If our father's inverstors are afraid and do not swear the oath by the City, then write the words I earlier suggested. Conclude the case and let an oath be sworn among you, so I and Ali-ahum may pay half the silver each. My dear brothers, send me word with my servant whether it is one or the other, so I can make up my mind. Between you, when I arrive and consider the case, it must not be overturned for me. If you yourselves fear gap> then let it be said between you so as not to transgress until I arrive."
bulṭu I,"""life; cure, healing"" [TI(.LA)] 1. ""lifetime""2. ""(state of) life""3. ""subsistence, food""4. ""cure"" of illness, freq. in ""medical treatment, prescription""5. ""health(y state)"""
namlaktu I,"usu. ""(governed) territory, realm"" Mari;"
halmahhu I,(big hallu-container) jB legap> .;
ilhu I,(a garment) jB legap> .
5.5 ma-na URUDU SIG5 a-na a-we-el-tim tù-um-li-a-tim wa-al-dí-DINGIR ú-bi-il5,Waldi-ilum brought 5.5 minas of good copper to the lady from Tumliya.
ṭupullû I,"""slander, suspicion"" O;"
terhatu I,"""bride payment"" OAkk, O, MA [Alal. NÍG.MUNUS.ÚS.A]"
maṣarru I,"(a vessel) O, NA;"
inimmû II,"""cup, bowl"" jB legap> ."
10 GÍN KÙ.BABBAR ṣa-ru-pá-am iš-tí i-ku-pí-a-šur DUMU PUZUR4.IŠTAR 10 GÍN KÙ.BABBAR ṣa-ru-pá-am iš-tí a-šur-GAL 5 GÍN KÙ.BABBAR iš-tí na-na-a,10 shekels of refined silver is owed by Ikūn-pī-Aššur son of Puzur-Ištar.
epēqu I,"~ ""to embrace; grow over, round"" OA, O G (i) ""grow over"" of part of liver etc., usu. stat.; O legap> . ""embrace (in affection)"" Gt ""grow over each other"" D ~ G egap> t., stat. ""is grown over, round"" part of body; of wave, flood ""be turned over""; OA ~ ""pack an upqum load"" Dt pass. of D (or Gt ) OB of lung ""be grown over"""
illakkunnu I,"(part of a quiver) Nuzi, of silver"
uppušu I,"~ ""well looked-after"" jB legap> . of date palm;"
huzirtu I,"""sow, le pig"" MA, as fgap>; jB legap> . in h. eqli (a kind of cricket);"
um-ma ku-zi-zi-a-ma a-na en-um-a-šùr qí-bi-ma 2 TÚG ra-qá-tim ù hu-sà-ra-am šé-ep-IŠTAR ù ša-lim-ÌR-dí ub-lu-nim TÚG ra-qá-tí-kà a-šùr-e-mu-qí i-na ma-ri-it-hi-im i-dí-ší-na-ma ší-im-ší-na ù-lá ub-lam i-na a-lá-ki-šu ší-im-ší-na ù-šé-ba-lá-kum KÙ.BABBAR a-na qá-tí-a lá ma-qí-it-ma me-eh-ra-tim lá ú-šé-bi-lá-kum hu-sà-ar-kà ku-nu-ki-a ù 4.3333 GÍN KÙ.GI ku-nu-ki-a-ma ší-im ra-qá-tim ša pí-lá-ah-IŠTAR šé-ep-IŠTAR ù ša-lim-ÌR-dí na-áš-ú-ni-kum a- <gap> na-ru-uq <gap> -ru-tum <gap> -tám a-ma-kam a-na a-wi-il5-tim dí-in KÙ.BABBAR-áp-šu i-na a-lá-ak ṣú-ha-ri-im ú-šé-ba-lá-kum,"<gap> From Kuziziya to Ennam-Aššur: Šēp-Ištar and Šalim-wardī brought me 2 thin tegap> tiles and some lapis lazuli. Aššur-emūqī sold your thin tegap> tiles in Marithum, but he has not brought the proceeds from their sale. When he comes I shall send you the proceeds from them. No silver has fallen into my hands, so I did not send you a corresponding amount. Your lapis lazuli is under my seal and Šēp-Ištar and Šalim-wardī bring you 4 ⅓ shekels of gold, also under my seal, the proceeds from the thin tegap> tiles belonging to Pilah-Ištar. gap> a sack gap> give that to the lady there. I shall send you the silver for it when the servant comes."
edātu I,mng. uncert. MB
Du'ūzu I,"""Tammuz"" (4th Bab. month) j [ITI.ŠU(.NUMUN.A); ITI.ŠU.GAR.NUMUN.NA]"
zarriš I,"""like a swath"" jB;"
kalmatu I,"""insect(s), bug(s)"" etc. [UH] usu. coll.; OAkk as gap>"
palgu I,"""ditch, canal"" [PA5] usu. for irrigation; p. kirî ""ntation ditch""; ṭīd p. ""mud from ditch"";"
našmu I,(a pastry) Mari
atappu I,"f.; f. & m. ""(small) canal, ditch"" Bab., NA [PA5; OB math. PA5.SIG];"
ahātūtu I,"""sisterhood"" Nuzi;"
ṣiātiš I,"""for ever, for the future"" M;"
namrā'u I,"usu. ""fattening"" OB;"
2 ší-na sú-pá-nu ša 2 ma-na.TA e ú ša-al-šu-um sú-pá-num 1 ma-na šu-qú-ul-ta-šu ŠU.NÍGIN 5 ma-na sí-pá-ri ku-nu-ki-a a-na a-mur-a-šur DUMU ku-ku-lá-nim áp-qí-id-ma a-na ṣé-er ku-da-tim ù dan-a-šur DUMU PUZUR4-a-šur a-na pu-ru-uš-ha-dim a-na ší-a-ma-tim ú-šé-bi-il5-šu IGI a-šur-ta-ak-lá-ku DUMU ma-lá-kà-a DUMU en-na-bi-lam,"2 supannus of 2 minas each, and a third supannu weighing 1 mina;in all: 5 minas of bronze under my seal I entrusted to Amur-Aššur son of Kukulānum and sent it with him to Kudātum and Dan-Aššur son of Puzur-Aššur to Purušhaddum for purchases.Witnessed by Aššur-taklāku son of Malakaya, son of Ennam-Bēlum."
gūru I,"~ ""foliage, leaves (of reed-nts)"" jB [GI.GIL ] g. (ša) qanî ""g. of reed"""
enētu I,"""to flatten"" M, NA G not attested D liter. ""flatten""; astr. stat. of moon, nets ""are faint"" Dt astr. ""be faint, become faint"""
sanapu I,(a nt) jB legap> .
naṭû IV,"""to hit, beat"" Bab., M G (u, i) ""beat, whip"" humans, horses D ~ G of tongue, mng. unkn. Š ""cause to beat"" N ""be beaten"""
5 GÍN a-na im-dí-DINGIR ½ GÍN a-na GUDU4 ⅙ GÍN a-na nu-a-ri-im 22.5 ŠE.GÍN a-na ŠU.HI 22.5 ŠE.GÍN a-na ša-AB.KI-tim,"5 shekels for Imdī-ilum, ½ shekel for the priest, 1 shekel for the r, 1 shekel for the barber, 1 shekel forgap> ."
ištēnšerû I,"* ""eleventh"" M;"
napardû II,"""to shine brightly"" M, NA N of day, deity; of mind, mood ""be cheerful"" Š ""lighten, illuminate"" darkness; ""make cheerful, cheer up"" person, mood, heart"
puhhuru I,"""assembled"" M, NA;"
eddidu I,(a kind of thorn-bush) jB;
hussû I,(a vessel) NB;
li'bu I,(a serious disease with associated fever) O [DIH]; also l. (ṣibit) šadî; as demon; egap> t. (a spot affected by l. disease);
sēhû I,"""dissenter, challenger"" NB leg., against contract;"
šukurru I,"OAkk, O, NA [GIŠ.ŠUKUR] 1. ""lance, spear""2. (a household utensil)3. (a metal peg or rivet)"
aslu I,"""ram; sheep"" jB as sacrifice;"
nazaginnakku I,(a lapis lazuli vessel) jB legap> .;
māšištu I,"f. ""polisher"" jB legap> .;"
purukkû I,"~ ""backlog in payment"" MB, NB;"
barhu I,"""shining"" NA, NB in gap>s; f. Barihtu as fgap>, MB; also Ug., m. & f. (a class of person);"
šalattinu I,"(an illness) OB, jB legap> ."
epattu I,"epadātum (a garment) OA, from Talhad"
a-na ší-ip-ri ša a-lim{ki} ù kà-ri-im kà-ni-iš ṣa-he-er-GAL qí-bi-ma um-ma ša-lim-a-šùr-ma bé-lu-a a-tù-nu ṭup-pá-am ša kà-ri-im bu-ru-uš-ha-dim ṣa-he-er GAL ù ṭup-pá-am ša ú-ší-na-lam DUB.SAR ša kà-ri-im bu-ru-uš-ha-dim DUMU i-ba-a ù ṣú-ha-ru-um ša ú-ší-na-lam a-na kà-ri-im kà-ni-iš ṣa-he-er GAL a-šu-mì a-bu-ša-lim ÌR ub-lu-nim-ma um-ma šu-nu-ma 16 li-me 40 ma-na URUDU ší-im SÍG.HI.A a-bu-ša-lim ÌR a-na ú-ší-na-lam ha-bu-ul 30 li-me URUDU ša nam-e-dim ša e-kál-lim ha-bu-lu ú-ší-na-lam ú-ṣa-li-im um-ma šu-nu-ma a-bu-ša-lim li-li-kam šu-ma a-bu-ša-lim lá-šu be-el-šu li-li-kam a-na-kam a-na na-áp-ša-tí-ni ù KÙ.BABBAR-áp <gap> a-bu-ša-lim ni-ša-hu-ut ší-ip-ru ša a-lim ku-lu-šu-nu-ma ù kà-ru-um kà-ni-iš ṣa-he-er GAL ṭup-pí iš-ta-me-ú-ma um-ma a-tù-nu-ma a-li-ik-ma ú-ší-na-lam tù-ṭá-áb a qá-tí ili5-ba-ni hu-ra-ṣa-num DUB.SAR ša kà-ri-im bu-ru-uš-ha-dim ú ṣú-ha-ri-im ša,"<gap> To the envoys of the City and the nary assembly of the Kanesh colony; from Šalim-Aššur: My dear lords, the scribe of the Burušhaddum colony, Ibaya's son, and a servant of Ušinalam brought a tablet from the nary assembly of the Burušhaddum colony and a tablet from Ušinalam to the nary assembly of the Kanesh colony concerning the slave Abu-šalim, and they said: The slave Abu-šalim owes 16, 040 minas of copper, the price of wool, to Ušinalam. As to the 30, 000 minas of copper from the others that they owe to the palace, he has angered Ušinalam."" They continued: ""Abu-šalim must come. If Abu-šalim is absent, then his master must come. Here we fear for our lives and Abu-šalim's silver."" All of the envoys from the City and the nary assembly of the Kanesh colony heard this and you said: ""You must go and satisfy Ušinalam."" You handed me over to Ilī-bāni, huraṣānum, the scribe of the Burušhaddum colony and Ušinalam's servant together with my merchandise that had arrived from the City, and you said: ""Go! Satisfy Ušinalam!"" After I had paid 15, 000 minas of copper as the price of the wool to Ušinalam and satisfied him, he returned and handed me over to the palace officials for 40 minas of silver to cover the same Abu-šalim's debt. I said: ""It is you I have already satisfied, so the -documents are mine, or they are part of my goods and he has sold (them). Take the -documents you gave me and sell them where you wish. Why do you hand me over to your "" He answered: ""I will not take your -documents, but you must pay 40 minas of silver to the ."" I said this to Ušinalam before your envoys and the nary assembly of the Burušhaddum colony, but he refused. My dear lords, gap> the tablet from the Burušhaddum colony and the tablet from Ušinalam that Ibaya's son and Ušinalam's servant brought, that the envoys from the City and the nary assembly of the Kanesh colony heard, and on the basis of which tablets they led me away and I satisfied Ušinalam - both those two earlier tablets which the envoys of the City and the nary assembly of the Kanesh colony heard and which have been entrusted (for safe-keeping), s the tablet, a missive from the nary assembly of the Burušhaddum colony, that Ilī-bāni and huraṣānum bring to the nary assembly of the Kanesh colony - those three tablets you must seal for Buziya, the envoy from the City, and entrust them so that he brings them to the City. If Buziya has left, then entrust them to a reliable affiliated trader. You gave me a tablet, saying: ""Go and confirm the witnesses, so either in the Kanesh colony or in the Burušhaddum colony gap> the price of the wool of Ušinalamgap> ."""
ṣarbatu I,"""por"" [GIŠ.ÁSAL(A.TU.GAB.LIŠ)] the tree; also ""por wood"""
harmu II,"""(male) lover, consort"" jB of Dumuzi; Apsû;"
tillatu II,"""vine"" jB, NA; also of tamarisk(-shoot )"
akânu I,"""hither, this way"" MB;"
mašûtu II,"1. OB(Susa) (a royal donation document)2. jB ""sovereign dignity"""
qilpu I,"""rind, skin"" M [BAR] of grain, date, onion etc.; metal ""overlay""; ""worn cloth"";"
iškūru I,"""wagap> "" [DUH.LÀL] jB from bee's honey; for making figurines, for writing boards; OB f. iškūrātum ""wagap> -candle"""
atruk I,"(or atruq) (a cut of meat) NB for offerings, wr. uzua."
tašlu I,mng. unkn. Am. in list of precious items;
purkullūtu I,"""lapidary's craft"" j [(LÚ.)BUR.GUL- ];"
šašappu I,(royal title in Elam) OB(Elam)
i-na ha-ra-nim ni-lá-ak-ma um-ma da-da-a-ma a-na a-šur-na-da-ma ṭup-pu-um ša hu-bu-li-kà É wa-áb-ri-a i-ba-ší ù qá-dí ṭup-pí-kà ša KÙ.BABBAR 10 ma-na ṭup-pu-ú ša e-ri-ší-im É wa-áb-ri-a i-ba-ší KÙ.BABBAR ½ ma-na dí-na-ma ṭup-pá-kà du-uk um-ma a-šur-na-da-ma <gap> ša me-er-ú i-a-a ù me-er-ú e-ri-ší-im lá i-ma-hu-ru-ni-ni ṭup-pá-am ša ku-nu-ki-kà ta-da-nam ù KÙ.BABBAR ½ ma-na lá-dí-na-ku-um a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dì-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI id-na-a DUMU i-ba-a IGI <gap> -a-šur DUMU a-šur-i-mì-tí,"<gap> We will go on a trip and Dadaya said as follows to Aššur-nādā: The tablet concerning your debt is in my guest-house and together with your tablet concerning some 10 minas of silver the tablets concerning Erišum are in my guest-house. Give me at least ½ mina of silver and invalidate your tablet."" Aššur-nādā answered: ""As the sons of Yaya and the sons of Erišum do not approach me gap> give me the tablet under your seal, then I shall give you at least ½ mina of silver."" The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Witnessed by Idnaya son of Ibaya, by gap> son of Aššur-imittī."""
a-na {d}MAR.TU-ba-ni a-šùr-i-mì-tí ku-zi-zi-a ú en-um-a-šùr qí-bi-ma um-ma ša-lim-a-šur-ma 2 šu-lu-up-kà-e SIG5 2 ra-qá-ta-an SIG5 ša lu-bu-ší ša a-bi4-ni iš-tí lu-bu-ší ša <gap> iš-tí en-um-a-šùr ku-zi-zi-a i-na <gap> ep-ša-ku-ni a-hu-a a-tù-nu ih-da,"<gap> To Amurrum-bāni, Aššur-imittī, Kuziziya and Ennam-Aššur from Šalim-Aššur: 2 -tegap> tiles of good quality, 2 thin tegap> tiles of good quality for clothing for our father with the clothes gap> with Ennam-Aššur Kuziziya in gap> as I have been made. My dear brothers, take care."
karpu I,"""pot"" OA;"
nakaru I,"f. nakartu(m), NB nakaštu ""strange, unknown; enemy"" OAkk, Bab., NA [(LÚ.)KÚR] OB also gap>; of net Mars;"
šalaššumma I,"in š. epēšu ""to adopt as daughter"" Nuzi;"
hēpû I,"""breaker"" O worker breaking clods, stones;"
isru II,"""egap> acted payment"" M;"
hâbu I,"""to love"" jB legap> .;"
murdudû I,"(a nt) Bogh., jB [Ú.MUR.DÙ.DÙ; Bogh. MUL.DÙ.DÙ];"
um-ma i-na-sú-in-ma a-na a-lá-hi-im qí-bi-ma 1.3333 GÍN 10 5 ŠE KÙ.KI ša áb-ni-šu i li-bé-e da-da-a i-na kà-ni-iš i-ša-qal IGI {d}IM-ba-ni IGI a-mur-IŠTAR ni-a-im KÙ.KI a-ma-kam li-iš-qú-lá-ku-ma a-dí a-lá-kà-ni li-ib-ší šu-ma i tí-ki-ir-kà a-na da-ni-tim pí-kà dí-šu-um,"From Enna-Suen to Ali-ahum: 1.3333 shekel 15 grains of gold dust, owed by Dadaya; he is to pay in Kanesh. Witnessed by Adad-bāni, by our own Amur-Ištar. Have him pay the gold there to you and let it remain there until I come. If he contests it with you, then give him a harsh talking-to."
um-ma šál-ma-a-šur-ma a-na en-nam-a-šur qí-bi-ma 1 ma-na KÙ.BABBAR ša a-na i-tur4-DINGIR ù e-lá-lí DUMU me-er-e PUZUR4-a-na ta-dí-nu-ma a-na-kam ša-qá-lam qá-bi-ú-ni a-na-kam KÙ.BABBAR ša-bu-a-ku ṭup-pá-am ša ku-nu-ki-šu-nu dí-šu-nu-tí-ma le-tí-qú KÙ.BABBAR ša-bu-a-ku ù tí-ir-ta-kà li-li-kam-ma ṭup-pì-i le-ri-iš-ma lá-du-uk,"From Šalim-Aššur to Ennam-Aššur: As to the 1 mina of silver that you gave to Itūr-ilī and Elāli, the sons of Puzur-Anna, and which they promised to pay here - I have been paid the silver here. Give them the tablet with their seals and let them travel. I have been paid the silver. Also, send word and let me ask for my tablet so I can annul it."
lišakkû I,"(or lisakkû) mng. unkn. jB in māmīt l. ""oath by l."""
dahru I,"~ ""angry"" jB legap> ."
zarûtu I,"""sowing, cultivation"" jB(Ass.);"
nezû I,"""to void"" urine, egap> crement jB G of human, animal Ntn iter."
šagšu I,"""slain; afflicted, oppressed"" O;"
lību I,"adj. mng. unkn. Bogh., jB of hide"
aqqaru I,"""very precious"" j;"
qunnunu I,"""rolled up"" OAkk, MA, M; of hair ""curly, rolled""; of person, also (f)gap> Qannun(t)u ""With curly hair"""
ayabba I,"""the sea"" Mari, Am., jB;"
a-na ì-lí-e-mu-qí šu-ta-mu-zi a-bi4-a-a e-lá-a ù lá-ma-sí qí-bi-ma um-ma a-dí-da ù a-lá-hu-um-ma iš-tù ša-lim-a-šur me-tù-ú DAM.GÀR-ru-ú ša a-bi4-ni ša a-ma-kam KÙ.BABBAR ša ha-bu-lu-ni i-a-tí ù en-um-a-šur lá-am-ni-iš e-pu-šu-ni-a-tí-ma sí-ku-ni ù ba-a-ba-tù-ni ṣa-bu-ta-ma a-tù-nu ta-áš-me-a-ma a-na a-lim{ki} ta-li-kà-ma a-lu-um dí-nam i-dí-in-ma šu-ma KÙ.BABBAR ša-lim-a-šur i-na eq-lim ha-bu-ul i-na ṭup-pì-šu ù ší-bi4-šu i-ku-an-ma i-na sá-bi-tí-šu KÙ.BABBAR-áp-šu i-lá-qé a-na hu-bu-ul ša-lim-a-šur ša i-na a-lim{ki} ha-bu-lu ma-ma-an KÙ.BABBAR i-na eq-lim lá i-lá-qé ma-ma-an ša il5-qé-ú ú-ta-ar ša lá ú-ta-e-ru i-ša-ri-iq-šum <gap> -me-er <gap> -ku-nim-ma <gap> šu a-lam ha <gap> lu <gap> li-mu-um ni-ta šu ma mì <gap> ša-lim-a-šur 3 <gap> i-za-zu a-na a-lim <gap> ta-li-kà-ni me-eh-ra-at ṭup-pì-im ša a-lim{ki} a-ba-ba ra-bi4-ṣú-um ub-lá-ma KÙ.BABBAR ša ṣa-bu-tù ú-šé-ru-ma sí-ki-ni ú-kà,"<gap> To Ilī-emūqī, Šu-Tammuzi, Abiya, Elaya and Lamassī from Adida and Ali-ahum: After Šalim-Aššur died our father's customers to whom he owed silver there treated me and Ennam-Aššur badly, we were detained and our outstanding claims blocked, and you heard about it and went to the City assembly, and the City gave a verdict as follows: if Šalim-Aššur owed silver abroad, it must be proved with his tablet and witnesses and he (the creditor) may then receive his silver from the funds available; as for the debt that Šalim-Aššur owed in the City, noone could take any silver abroad. Whoever took any would have to return it; who did not return it would have it taken away by force. gap> the eponym gap> Šalim-Aššur gap> they will stand gap> To the City gap> Ababa, the attorney brought a copy of the tablet of the City and they released all the silver that had been confiscated, but they detained us. After my brother died they still detain me today! Sadly, my brother died. As my brother died, we sent the tablet of the City and the attorney Ababa. Our dear brothers, they should annul the tablet of the City of which Ababa brought a copy, then go to the assembly and have the City hear the letter and take this tablet. I shall come in 6 months and I and my outstanding claims shall be released. Let me clear my outstanding claims and come."
erēnu I,"""cedar"" [(GIŠ.)EREN] OAkk qišti e. ""cedar forest""; ""cedar (logs)"" for roof, column, door etc.; as aromatic wood (OA by weight); med. in recipes; šaman e. ""cedar oil""; dām e. ""cedar blood"" (i.e. resin); ash, powder of c.; e. peṣû ""white c."" (= tiyāru); jB qišši e. ""cucumber of c."" (a stone); sumkinnu e. ""cedar shavings"";"
